"","x"
"88","heyspencer h of tx wants to know if you stand with big cable or support netneutrality"
"89","netneutralityopenlibreis outstories"
"90","heysarah s of ca sez free marketers dont shill for cable monopolies netneutrality"
"91","as a historic fcc vote on netneutrality draws near see who in congress is working to kill it change history"
"92","heyvalerie w of ca sez big cable gets billions in subsidies stand with the people netneutrality"
"93","heyshaun k of wa sez netneutrality should not be partisan its about innovation"
"94","oscar a of ut sez side with the public on netneutralitynot big cable"
"95","heyscott c of ga sez netneutrality is the only way for a free market of internet services"
"96","heyjohn r of pa wants you to support netneutrality not big cable"
"97","conservative voters support netneutralitypeter h of ga wants to know why you dont too"
"98","free marketers dont shill for cable monopoliestrent a of sc sez support netneutrality"
"99","heytonya l of ok sez netneutrality is the only way for a free market of internet services"
"100","heyjerry s of az sez free marketers dont shill for cable monopolies netneutrality"
"101","heykatharine i of ne sez netneutrality is the only way for a free market of internet services"
"102","heylouisette p of ar sez big cable gets billions in subsidies stand with the people netneutrality"
"103","heylynne b of mi sez fast lanes hurt innovation support netneutrality"
"104","heynancy m of il sez big cable gets billions in subsidies stand with the people netneutrality"
"105","heymitch h of hi wants to know if you stand with big cable or support netneutrality"
"106","heyjohn l of mo sez netneutrality should not be partisan its about innovation"
"107","heyjoseph w of pa sez netneutrality is the only way for a free market of internet services"
"108","marco rubio raisingin siliconvalley for his outofdate ideas on netneutrality tell him he doesnt get the net http"
"109","heynolis c of nj sez strong netneutrality enables innovation"
"110","heytony h of mo sez free marketers dont shill for cable monopolies netneutrality"
"111","heyjj h of ga wants to know why you arent siding with millions on netneutrality"
"112","heytimothy p of wa wants to know if you stand with big cable or support netneutrality"
"113","heyken h of ut sez you should side with the public on netneutrality not big cable"
"114","steven f of mn wants you to support netneutralitynot big cable"
"115","heywilliam b of tx sez netneutrality should not be partisan its about innovation"
"116","heysteve p of mi sez free marketers dont shill for cable monopolies netneutrality"
"117","heymaureen e of ma wants to know if you stand with big cable or support netneutrality"
"118","heyryan t of ca sez you should side with the public on netneutrality not big cable"
"119","heytodd s of or sez you should side with the public on netneutrality not big cable"
"120","heynaveed m of va wants to know if you stand with big cable or support netneutrality"
"121","do you stand with big cable or support netneutralitymichael c of ny wants to know"
"122","fast lanes hurt innovationronnie t of tx sez support netneutrality"
"123","heysteve v of id sez you should side with the public on netneutrality not big cable"
"124","heyrand f of or sez netneutrality should not be partisan its about innovation"
"125","heyjeffrey m of mo sez strong netneutrality enables innovation"
"126","heyrobert m of ny sez free marketers dont shill for cable monopolies netneutrality"
"127","heyjunior z of ca sez conservative voters support netneutrality why dont you"
"128","heypeter w of ma sez strong netneutrality enables innovation"
"129","free marketers dont shill for cable monopoliespeggy h of hi sez support netneutrality"
"130","heyvincent w of fl sez big cable gets billions in subsidies stand with the people netneutrality"
"131","heymatthew z of fl sez big cable gets billions in subsidies stand with the people netneutrality"
"132","free marketers dont shill for cable monopolieslynn p of or sez support netneutrality"
"133","heyjesse f of tx sez big cable gets billions in subsidies stand with the people netneutrality"
"134","heymary f of wi wants you to support netneutrality not big cable"
"135","heyjohn w of nj sez big cable gets billions in subsidies stand with the people netneutrality"
"136","telecomm industry fileslawsuits to block net neutrality from ever happening
netneutrality"
"137","heyjohn m of fl sez netneutrality should not be partisan its about innovation"
"138","dearuser are you aware that your browsed webpages have javascript code inserted by ur ispnetneutrality"
"139","fast lanes hurt innovationkentaro m of id sez support netneutrality"
"140","heyp k of ca wants you to support netneutrality not big cable"
"141","fast lanes hurt innovationlucille b of fl sez support netneutrality"
"142","fast lanes hurt innovationwilliam p of tx sez support netneutrality"
"143","join uspm et for a reporter briefing on why were fighting titleii and whats next on netneutrality http"
"144","heyryan f of wi sez free marketers dont shill for cable monopolies netneutrality"
"145","heywilliam w of mi sez you should side with the public on netneutrality not big cable"
"146","heymark b of ca sez netneutrality should not be partisan its about innovation"
"147","heyrobin c of ma wants to know if you stand with big cable or support netneutrality"
"148","conservative voters support netneutralitysteven e of ny wants to know why you dont too"
"149","do you stand with big cable or support netneutralitykaye d of in wants to know"
"150","heymary g b of or wants you to support netneutrality not big cable"
"151","heyjohn s of ny sez big cable gets billions in subsidies stand with the people netneutrality"
"152","berec eu regulators body publishes a report on how consumers value netneutrality"
"153","do you stand with big cable or support netneutralityp f of ny wants to know"
"154","mark s of ct sez side with the public on netneutralitynot big cable"
"155","heynancy w of ca sez fast lanes hurt innovation support netneutrality"
"156","rob h of mt sez side with the public on netneutralitynot big cable"
"157","heynick a of mi sez conservative voters support netneutrality why dont you"
"158","heyelton r of mt sez conservative voters support netneutrality why dont you"
"159","free marketers dont shill for cable monopoliesmark d of sc sez support netneutrality"
"160","heyjerry k of co sez netneutrality is the only way for a free market of internet services"
"161","heyphillip e of ny sez netneutrality is the only way for a free market of internet services"
"162","heykyle m of pa sez netneutrality should not be partisan its about innovation"
"163","telecomm industry fileslawsuits to block net neutrality from ever happening
netneutrality"
"164","heyjohn m of ca sez netneutrality is the only way for a free market of internet services"
"165","heypatti m of pa sez netneutrality is the only way for a free market of internet services"
"166","conservative voters support netneutralityjohn c of fl wants to know why you dont too"
"167","heyjonathan p of il sez fast lanes hurt innovation support netneutrality"
"168","heyrobert p of ga sez netneutrality should not be partisan its about innovation"
"169","heywilliam n of ca wants to know why you arent siding with millions on netneutrality"
"170","valeriano d of ca sez side with the public on netneutralitynot big cable"
"171","heykim n of ca sez you should side with the public on netneutrality not big cable"
"172","heymark r of ca sez strong netneutrality enables innovation"
"173","please watch literally defconpeople tpp might get passed same day netneutrality goes into effect"
"174","netneutrality think so"
"175","heyxavier a of ny wants you to support netneutrality not big cable"
"176","heymatthew p of ca sez free marketers dont shill for cable monopolies netneutrality"
"177","heyseth p of nj sez you should side with the public on netneutrality not big cable"
"178","heyr s of fl sez big cable gets billions in subsidies stand with the people netneutrality"
"179","heysteven w of or sez you should side with the public on netneutrality not big cable"
"180","heymonroe f of ne sez strong netneutrality enables innovation"
"181","conservative voters support netneutralitypamela b of ny wants to know why you dont too"
"182","heykenneth g of pa wants you to support netneutrality not big cable"
"183","do you stand with big cable or support netneutralityjesse v of wi wants to know"
"184","heyjosh h of ca wants you to support netneutrality not big cable"
"185","valerie c of ma sez side with the public on netneutralitynot big cable"
"186","heynancy m of az sez netneutrality should not be partisan its about innovation"
"187","heymorgan m of co sez strong netneutrality enables innovation"
"188","heynancy d of wa sez fast lanes hurt innovation support netneutrality"
"189","netneutrality is not a mere slogan it is lost when people defending it are allowed to be defeated one by one"
"190","heymoises m of ca wants you to support netneutrality not big cable"
"191","heylawrence g of nj sez big cable gets billions in subsidies stand with the people netneutrality"
"192","heyphyllis b of ca sez conservative voters support netneutrality why dont you"
"193","nocalldrops airtel has unanimously increased tariff charges for g and g internet netneutrality stoplootingus"
"194","phillip g of ca sez side with the public on netneutralitynot big cable"
"195","heyjoanne f of il sez you should side with the public on netneutrality not big cable"
"196","netneutrality is not a mere slogan it is lost when people defending it are allowed to be defeated one by one"
"197","heynicole g of ny sez netneutrality should not be partisan its about innovation"
"198","michael s of wa sez side with the public on netneutralitynot big cable"
"199","free marketers dont shill for cable monopoliesmary g of ma sez support netneutrality"
"200","fast lanes hurt innovationjoyce h m of ny sez support netneutrality"
"201","netneutrality under serious threat by airtel and people likeneed public support corporates cannot bulldoze fair criticism with"
"202","netneutrality takes a beating with service provider airtel snooping user preference the israeli company sending notice tocriminal"
"203","heymarty e of tx sez big cable gets billions in subsidies stand with the people netneutrality"
"204","heyjeffrey s of ca sez conservative voters support netneutrality why dont you"
"205","tpp is a perfect eg of why corps want to kill netneutrality wo the web it would probably have been sneaked thru wlittle resistance"
"206","heystuart d of id sez you should side with the public on netneutrality not big cable"
"207","heyphilip s of ny wants you to support netneutrality not big cable"
"208","heysharon p of ca wants to know if you stand with big cable or support netneutrality"
"209","telecomm industry fileslawsuits to block net neutrality from ever happening
netneutrality"
"210","fast lanes hurt innovationjohn s of ca sez support netneutrality"
"211","heyjohn s of wi sez you should side with the public on netneutrality not big cable"
"212","heyeileen w of il sez conservative voters support netneutrality why dont you"
"213","heyjudith w of oh sez you should side with the public on netneutrality not big cable"
"214","heyrobert mervyn m of ca sez free marketers dont shill for cable monopolies netneutrality"
"215","heyrachel b of az sez free marketers dont shill for cable monopolies netneutrality"
"216","heymichael s of il sez you should side with the public on netneutrality not big cable"
"217","richard r of la sez side with the public on netneutralitynot big cable"
"218","heymary m of md wants to know why you arent siding with millions on netneutrality"
"219","free marketers dont shill for cable monopolieskimberly m of ny sez support netneutrality"
"220","heywendy t of ca wants to know why you arent siding with millions on netneutrality"
"221","do you stand with big cable or support netneutralitykeven t of mi wants to know"
"222","rick b of md wants you to support netneutralitynot big cable"
"223","heymartha p of ct sez conservative voters support netneutrality why dont you"
"224","steven c of ca sez side with the public on netneutralitynot big cable"
"225","so whats goinghappen to indian telcos when google loon project brings free internet to everyone"
"226","free marketers dont shill for cable monopoliesmarianne s of ca sez support netneutrality"
"227","conservative voters support netneutralitylaurel l of or wants to know why you dont too"
"228","heyrichard j of tn sez netneutrality is the only way for a free market of internet services"
"229","heyshawn l of nj wants you to support netneutrality not big cable"
"230","do you stand with big cable or support netneutralitykent s of hi wants to know"
"231","heynoreen p of nj wants you to support netneutrality not big cable"
"232","heysarinea m of ca sez fast lanes hurt innovation support netneutrality"
"233","heystephanie c of ny sez free marketers dont shill for cable monopolies netneutrality"
"234","conservative voters support netneutralitymargaret o of mi wants to know why you dont too"
"235","heysam amp diane d of nh sez free marketers dont shill for cable monopolies netneutrality"
"236","heytimothy r of pa sez strong netneutrality enables innovation"
"237","lin d of in wants you to support netneutralitynot big cable"
"238","heyjustin m of pa sez you should side with the public on netneutrality not big cable"
"239","heyjohn d of in sez netneutrality should not be partisan its about innovation"
"240","heypeyton j of md sez you should side with the public on netneutrality not big cable"
"241","heywilliam p of tx wants you to support netneutrality not big cable"
"242","do you stand with big cable or support netneutralityjohn m of ny wants to know"
"243","sigrid a of wa wants you to support netneutralitynot big cable"
"244","conservative voters support netneutralityolvan j of de wants to know why you dont too"
"245","roger w of ne wants you to support netneutralitynot big cable"
"246","heynorman h of ca sez conservative voters support netneutrality why dont you"
"247","robert k of ny sez side with the public on netneutralitynot big cable"
"248","heypatrick c of il sez free marketers dont shill for cable monopolies netneutrality"
"249","marco rubio raisingin siliconvalley for his outofdate ideas on netneutrality tell him he doesnt get the net"
"250","heyjean z of ar sez big cable gets billions in subsidies stand with the people netneutrality"
"251","heyleslie g of ny wants to know why you arent siding with millions on netneutrality"
"252","do you stand with big cable or support netneutralityjill h of mi wants to know"
"253","heymolly w of tx sez fast lanes hurt innovation support netneutrality"
"254","heyjeff m of sc sez conservative voters support netneutrality why dont you"
"255","free marketers dont shill for cable monopoliesporter d of mi sez support netneutrality"
"256","juan e of pa sez side with the public on netneutralitynot big cable"
"257","heyroger w of wi wants you to support netneutrality not big cable"
"258","dignitasnews european ruling on google a step toward big brotherpjnet tcot ccot obamanet netneutrality wa"
"259","european ruling on google a step toward big brotherpjnet tcot ccot obamanet netneutrality wakeupamerica"
"260","heypaul r of nm sez big cable gets billions in subsidies stand with the people netneutrality"
"261","heysteven k of fl sez strong netneutrality enables innovation"
"262","netneutralityend of permissionlessinnovation"
"263","heynancy p of ca wants to know if you stand with big cable or support netneutrality"
"264","how does netneutrality relate to sustainability joinandathttp"
"265","free marketers dont shill for cable monopoliesjeffery s of wa sez support netneutrality"
"266","the tpp could gut netneutrality minimumwage worker safety environmental laws the tpa sneaks it by like a pig in a poke"
"267","do you stand with big cable or support netneutralitykimberly s of ga wants to know"
"268","conservative voters support netneutralitymatthew k of ca wants to know why you dont too"
"269","heypeter m of il sez conservative voters support netneutrality why dont you"
"270","heyshane s of al sez netneutrality is the only way for a free market of internet services"
"271","heyshawn e of tx sez you should side with the public on netneutrality not big cable"
"272","do you stand with big cable or support netneutralitypeter c of ca wants to know"
"273","heymarta s of nc sez big cable gets billions in subsidies stand with the people netneutrality"
"274","heyrussell w of ny wants to know why you arent siding with millions on netneutrality"
"275","how does netneutrality relate to sustainability joinandat"
"276","michael v of co wants you to support netneutralitynot big cable"
"277","do you stand with big cable or support netneutralitykelley a of ca wants to know"
"278","heykatharine h of ca wants you to support netneutrality not big cable"
"279","conservative voters support netneutralitynatalie m of ca wants to know why you dont too"
"280","do you stand with big cable or support netneutralitylinda b of ny wants to know"
"281","we arent the copyright cops icanns president saystechonomypolicy netneutrality"
"282","heymary ann b of mi sez conservative voters support netneutrality why dont you"
"283","heyj s of co wants to know why you arent siding with millions on netneutrality"
"284","netneutralityviolation ofspottedspecial data caps for whatsapp and viber savetheinternet"
"285","heysean s of ak sez strong netneutrality enables innovation"
"286","free marketers dont shill for cable monopoliesjohn k of il sez support netneutrality"
"287","heymatthew f of nc sez big cable gets billions in subsidies stand with the people netneutrality"
"288","heyjohn m of tx sez you should side with the public on netneutrality not big cable"
"289","free marketers dont shill for cable monopolieskellie s of nh sez support netneutrality"
"290","streaming amazon on roku keeps stalling and buffering must be the fccs netneutrality rules kicking in already thanksobama"
"291","heykate g of wa sez big cable gets billions in subsidies stand with the people netneutrality"
"292","guncontrol not about gunsabout controlgt netneutrality not about accessabout controlgtnot about healthcare a"
"293","fast lanes hurt innovationrob t of oh sez support netneutrality"
"294","linda w of ct sez side with the public on netneutralitynot big cable"
"295","heymichelle h of fl sez free marketers dont shill for cable monopolies netneutrality"
"296","heymick c of co sez netneutrality is the only way for a free market of internet services"
"297","judy j of wa wants you to support netneutralitynot big cable"
"298","heytom k of nj sez conservative voters support netneutrality why dont you"
"299","heylaurie w of ca sez netneutrality should not be partisan its about innovation"
"300","heymerey g of wa sez netneutrality should not be partisan its about innovation"
"301","netneutrality and what it means for video content providers"
"302","heynicholas p of fl sez netneutrality is the only way for a free market of internet services"
"303","heylinda s of tn sez big cable gets billions in subsidies stand with the people netneutrality"
"304","heysteve g of ca wants to know why you arent siding with millions on netneutrality"
"305","heyjim b of ca sez you should side with the public on netneutrality not big cable"
"306","conservative voters support netneutralityjohn h of ok wants to know why you dont too"
"307","robert j of az wants you to support netneutralitynot big cable"
"308","ronald g of or sez side with the public on netneutralitynot big cable"
"309","heykatherine m of ca sez you should side with the public on netneutrality not big cable"
"310","heymartha m of wi sez netneutrality should not be partisan its about innovation"
"311","do you stand with big cable or support netneutralitylocke m of ca wants to know"
"312","heytia t of ma sez big cable gets billions in subsidies stand with the people netneutrality"
"313","heykaren h of nj sez netneutrality is the only way for a free market of internet services"
"314","heyrandy h of tx sez free marketers dont shill for cable monopolies netneutrality"
"315","heyjeff b of wa sez conservative voters support netneutrality why dont you"
"316","heyramon t of mi sez netneutrality is the only way for a free market of internet services"
"317","heyomer z of ma sez big cable gets billions in subsidies stand with the people netneutrality"
"318","heyjordan f of tx sez you should side with the public on netneutrality not big cable"
"319","richard t r of ny wants you to support netneutralitynot big cable"
"320","guncontrol not about gunsabout controlgt netneutrality not about accessabout controlgtnot about healthcare a"
"321","guncontrol not about gunsabout controlgt netneutrality not about accessabout controlgtnot about healthcare a"
"322","heyrichard b of ca wants to know if you stand with big cable or support netneutrality"
"323","guncontrol not about gunsabout controlgt netneutrality not about accessabout controlgtnot about healthcare a"
"324","do you stand with big cable or support netneutralityzachary m of ca wants to know"
"325","fcc regulations protect net neutrality for internet consumersnetneutrality"
"326","heylorita l of ak sez netneutrality should not be partisan its about innovation"
"327","guncontrol not about gunsabout controlgt netneutrality not about accessabout controlgtnot about healthcare a"
"328","guncontrol not about gunsabout controlgt netneutrality not about accessabout controlgtnot about healthcare about control"
"329","free marketers dont shill for cable monopoliesjeff b of ny sez support netneutrality"
"330","zuckerberg wants to control what the nextbillion internet users do online speak outnetneutrality"
"331","heymichael g of in sez big cable gets billions in subsidies stand with the people netneutrality"
"332","paul d of tx sez side with the public on netneutralitynot big cable"
"333","heyscott a of ne wants to know if you stand with big cable or support netneutrality"
"334","fast lanes hurt innovationralph g of co sez support netneutrality"
"335","heyleah m of or sez you should side with the public on netneutrality not big cable"
"336","heywilliam b of oh sez netneutrality is the only way for a free market of internet services"
"337","conservative voters support netneutralityphyllisa c of ut wants to know why you dont too"
"338","heyreed w of nv sez strong netneutrality enables innovation"
"339","heynoah y of oh sez conservative voters support netneutrality why dont you"
"340","susan s of vt wants you to support netneutralitynot big cable"
"341","heymadeline m of ca sez free marketers dont shill for cable monopolies netneutrality"
"342","heytristan p of pa sez netneutrality is the only way for a free market of internet services"
"343","heyjoshua c of mi sez strong netneutrality enables innovation"
"344","netneutrality regulation is illegal overreach by a power hungrycontrolled by google and its lobbyists"
"345","heykathleen r of fl sez conservative voters support netneutrality why dont you"
"346","fast lanes hurt innovationjulia s of tx sez support netneutrality"
"347","heyterry c of tn wants to know if you stand with big cable or support netneutrality"
"348","is netneutrality govt overreach find out in my latest video columbus cbtv smallbusiness"
"349","heytom r of ne wants to know if you stand with big cable or support netneutrality"
"350","do you stand with big cable or support netneutralityrichard j of wa wants to know"
"351","heysamuel n of or sez free marketers dont shill for cable monopolies netneutrality"
"352","heyleonard g of wv wants to know if you stand with big cable or support netneutrality"
"353","heyjulia d of oh sez free marketers dont shill for cable monopolies netneutrality"
"354","heyjon a of ca wants to know if you stand with big cable or support netneutrality"
"355","us house votes for permanent ban on internet access taxes 


uniteblue netneutrality"
"356","heymary w of tx wants to know if you stand with big cable or support netneutrality"
"357","heyzora lofm sez big cable gets billions in subsidies stand with the people netneutrality"
"358","you should be proud a big thanks to you and the millions who spoke out to protect netneutrality"
"359","heysasha j of mi wants to know why you arent siding with millions on netneutrality"
"360","heymarga r of nj sez netneutrality should not be partisan its about innovation"
"361","heyrick b of ct wants you to support netneutrality not big cable"
"362","heypaul m of ca sez netneutrality should not be partisan its about innovation"
"363","visual notes fromtalk at pdf on netneutrality for next billion people to come online"
"364","heyyuanting t of ny sez you should side with the public on netneutrality not big cable"
"365","heyrodney h of wi sez free marketers dont shill for cable monopolies netneutrality"
"366","matthew s of oh sez side with the public on netneutralitynot big cable"
"367","heyjohnny s of fl sez big cable gets billions in subsidies stand with the people netneutrality"
"368","heylj o of ma sez you should side with the public on netneutrality not big cable"
"369","heyshawn k of pa sez free marketers dont shill for cable monopolies netneutrality"
"370","heymirl w of il sez netneutrality is the only way for a free market of internet services"
"371","heykevin g of md sez netneutrality should not be partisan its about innovation"
"372","netneutralityend of permissionlessinnovation"
"373","sam s of ct wants you to support netneutralitynot big cable"
"374","americans must unit and take action to keep the internet freenetneutrality titleii internets"
"375","free marketers dont shill for cable monopoliesjoshua d of az sez support netneutrality"
"376","netneutralityend of permissionlessinnovation"
"377","if fcc must approve new internet services providers wont offer new services titleii netneutrality"
"378","open intenet not regulated public utility that thwarts competiton innovationtitleii"
"379","elinor g of wa wants you to support netneutralitynot big cable"
"380","kendy b of pa wants you to support netneutralitynot big cable"
"381","heylaura j p of ma wants to know if you stand with big cable or support netneutrality"
"382","heyjordan d of sd sez netneutrality is the only way for a free market of internet services"
"383","conservative voters support netneutralitynicholas n of il wants to know why you dont too"
"384","heymartin a of 
 wants to know if you stand with big cable or support netneutrality"
"385","do you stand with big cable or support netneutralityralph p of az wants to know"
"386","heywilliam r of ca wants to know why you arent siding with millions on netneutrality"
"387","heylyle a of mi wants to know if you stand with big cable or support netneutrality"
"388","heythomas amp jerelynn s of ma wants to know if you stand with big cable or support netneutrality"
"389","heyjoseph m of az sez netneutrality is the only way for a free market of internet services"
"390","do you stand with big cable or support netneutralitypeter k of ca wants to know"
"391","heymichael a of ca sez free marketers dont shill for cable monopolies netneutrality"
"392","seth m of sc wants you to support netneutralitynot big cable"
"393","why netneutrality is not helping the internet"
"394","heyjeanne n of ca wants to know why you arent siding with millions on netneutrality"
"395","free marketers dont shill for cable monopoliesrobert d of mn sez support netneutrality"
"396","is your isp is slowing down your internet find out now help protect netneutrality"
"397","heytim s of or sez fast lanes hurt innovation support netneutrality"
"398","heyjeanette n of id sez netneutrality is the only way for a free market of internet services"
"399","heysylvia j of tn wants you to support netneutrality not big cable"
"400","americans must unit and take action to keep the internet freenetneutrality titleii internetsalestaxes nonettax"
"401","asks howaddresses netneutrality a proposers commitment to net neutrality part of rfp"
"402","heypatricia p of ca sez free marketers dont shill for cable monopolies netneutrality"
"403","heytimothy g of ca sez strong netneutrality enables innovation"
"404","netneutralityend of permissionlessinnovation"
"405","conservative voters support netneutralitylandon b of ky wants to know why you dont too"
"406","heylori k of ca wants to know why you arent siding with millions on netneutrality"
"407","heyrobert d of or sez free marketers dont shill for cable monopolies netneutrality"
"408","heyjoshua s of mi sez fast lanes hurt innovation support netneutrality"
"409","heymichelle k of ca sez big cable gets billions in subsidies stand with the people netneutrality"
"410","heylinda e of wa sez netneutrality is the only way for a free market of internet services"
"411","heyjoan r of ny sez netneutrality should not be partisan its about innovation"
"412","as dan rubenstein shows determining shapley value would improve settlement but its tough to shift"
"413","heysamuel h of tx sez netneutrality should not be partisan its about innovation"
"414","free marketers dont shill for cable monopoliesmark l of tx sez support netneutrality"
"415","fast lanes hurt innovationsusan a of ca sez support netneutrality"
"416","heymooydeen f of oh sez netneutrality is the only way for a free market of internet services"
"417","if fcc must approve new internet services providers wont offer new services titleii netneutrality"
"418","heykir h of tx wants to know if you stand with big cable or support netneutrality"
"419","heyrobert m of ca wants you to support netneutrality not big cable"
"420","heywilliam w of ny wants you to support netneutrality not big cable"
"421","open intenet not regulated public utility that thwarts competiton innovationtitleiinetneutrality"
"422","heymarc p of nc sez you should side with the public on netneutrality not big cable"
"423","do you stand with big cable or support netneutralitypeter k of ny wants to know"
"424","heyruth s of co sez fast lanes hurt innovation support netneutrality"
"425","free marketers dont shill for cable monopolieskortney m of pa sez support netneutrality"
"426","heymichael t of ny wants you to support netneutrality not big cable"
"427","heysonya j of wa sez you should side with the public on netneutrality not big cable"
"428","michael l of fl sez side with the public on netneutralitynot big cable"
"429","heyrichard c of ca sez conservative voters support netneutrality why dont you"
"430","heysean f of mi sez fast lanes hurt innovation support netneutrality"
"431","heyvera c of ca sez netneutrality is the only way for a free market of internet services"
"432","heyjanet t of ca sez big cable gets billions in subsidies stand with the people netneutrality"
"433","mark b of ar sez side with the public on netneutralitynot big cable"
"434","heyrichard m of ca wants you to support netneutrality not big cable"
"435","free marketers dont shill for cable monopolieslorenz h of fl sez support netneutrality"
